round,global_acc,per_client_gen_acc,lr,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
51,0.698,0.698,0.01,0.778828944004091,0.7019438444924406,0.7130516431924883,0.5436893203883495,0.7031446540880503,0.6721556886227545,0.8418439716312057,0.634793337446021,0.7639219419324131,0.7098214285714286,0.7539203860072377,0.7988826815642458,0.8016235413495687,0.6062992125984252,0.49166203446359086,0.6157884503208244,0.7640852974186307,0.8756111871699589,0.7237569060773481,0.6740352191832147
52,0.698,0.698,0.01,0.7639989772436717,0.6821968528232027,0.7205633802816901,0.5436893203883495,0.6842767295597484,0.6511976047904192,0.8120567375886525,0.6261566933991364,0.7677296525464065,0.7008928571428571,0.744270205066345,0.7681564245810056,0.791476407914764,0.6141732283464567,0.481100611450806,0.6068442543262688,0.782716049382716,0.8824564834734989,0.712707182320442,0.6895841139003372
53,0.6974,0.6974,0.01,0.7957044234211199,0.7170626349892009,0.695962441314554,0.5566343042071198,0.6748427672955974,0.6661676646706587,0.8404255319148937,0.6607032695866749,0.7601142313184198,0.7053571428571429,0.7364294330518697,0.7932960893854749,0.8026382546930492,0.6299212598425197,0.5341856586992774,0.6068442543262688,0.7667789001122335,0.886368081361236,0.7348066298342542,0.6496815286624203
54,0.7022,0.7022,0.01,0.7629762209153669,0.6821968528232027,0.7252582159624413,0.5598705501618123,0.6993710691823899,0.6616766467065869,0.8226950354609929,0.6681061073411474,0.766301761066159,0.7321428571428571,0.7478890229191797,0.7793296089385475,0.8011161846778285,0.5984251968503937,0.5411339633129516,0.6004277658953918,0.7753086419753087,0.8820653236847252,0.7292817679558011,0.6815286624203821
55,0.6996,0.6996,0.01,0.7944259780107389,0.7263190373341561,0.7107981220657277,0.5307443365695793,0.6955974842767295,0.6931137724550899,0.8347517730496454,0.636027143738433,0.7610661589719181,0.6919642857142857,0.7451749095295537,0.7793296089385475,0.8061897513952309,0.6692913385826772,0.48804891606448025,0.6136496208438654,0.7784511784511785,0.8812830041071777,0.7348066298342542,0.6708505058074186
56,0.6968,0.6968,0.01,0.7806187675786244,0.6911447084233261,0.7370892018779343,0.5728155339805825,0.6786163522012578,0.6691616766467066,0.8375886524822695,0.6637877853177051,0.7472632079961923,0.71875,0.7352231604342582,0.8016759776536313,0.7995941146626078,0.6377952755905512,0.537242912729294,0.6210383044915418,0.7658810325476992,0.8836299628398201,0.7292817679558011,0.6401273885350318
57,0.7005,0.7005,0.01,0.7849654819739197,0.6991669237889541,0.7055399061032864,0.5436893203883495,0.6874213836477987,0.6751497005988024,0.8354609929078014,0.6637877853177051,0.7677296525464065,0.7008928571428571,0.7376357056694813,0.7905027932960894,0.8112633181126332,0.6535433070866141,0.5227904391328516,0.6142329379739452,0.775084175084175,0.889106199882652,0.7292817679558011,0.6717871862120645
58,0.7008,0.7008,0.01,0.7890565072871388,0.7068805924097501,0.7068544600938967,0.5533980582524272,0.7075471698113207,0.6916167664670658,0.8539007092198582,0.6588525601480567,0.7743931461208948,0.71875,0.7539203860072377,0.8156424581005587,0.8097412480974124,0.6141732283464567,0.5327959977765425,0.6214271825782617,0.7591470258136925,0.882260903579112,0.7292817679558011,0.6691644810790558
59,0.7012,0.7012,0.01,0.7811301457427768,0.7019438444924406,0.7130516431924883,0.5598705501618123,0.7226415094339622,0.687125748502994,0.8539007092198582,0.6409623689080814,0.7648738695859115,0.7321428571428571,0.770205066344994,0.7960893854748603,0.8198883815322171,0.6377952755905512,0.5177876598110062,0.6391211355240132,0.7773288439955106,0.872873068648543,0.7348066298342542,0.668415136755339
60,0.702,0.702,0.01,0.8051649194579391,0.7250848503548287,0.7053521126760564,0.5760517799352751,0.7094339622641509,0.6826347305389222,0.8319148936170213,0.6736582356570019,0.7629700142789148,0.71875,0.7512062726176115,0.7821229050279329,0.7995941146626078,0.6535433070866141,0.5561423012784881,0.5899280575539568,0.7580246913580246,0.8922354781928418,0.7182320441988951,0.6712251779692768
