round,global_acc,per_client_gen_acc,agg_norm,first_mom_norm,second_mom_norm,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
49,0.6555,0.6555,0.7177144885063171,0.21966592967510223,0.5458506941795349,0.7384300690360521,0.6547361925331687,0.6967136150234742,0.5436893203883495,0.690566037735849,0.6422155688622755,0.800709219858156,0.621838371375694,0.7225130890052356,0.6830357142857143,0.752714113389626,0.7681564245810056,0.7792998477929984,0.5354330708661418,0.4955530850472485,0.5650398600038887,0.7400673400673401,0.8623117543516526,0.7237569060773481,0.6491195204196328
50,0.6528,0.6528,0.7214691042900085,0.21837753057479858,0.5478855967521667,0.7330605983124521,0.6408515890157359,0.700093896713615,0.5436893203883495,0.6855345911949685,0.6332335329341318,0.8099290780141843,0.6150524367674275,0.723465016658734,0.6607142857142857,0.7490952955367913,0.7793296089385475,0.7879249112125825,0.5118110236220472,0.48721511951083935,0.5691230799144468,0.7497194163860831,0.865832192450616,0.7237569060773481,0.6530535781191458
51,0.6574,0.6574,0.7198147773742676,0.21729089319705963,0.5498710870742798,0.7292252620813091,0.6352977476087627,0.7027230046948357,0.5242718446601942,0.6698113207547169,0.625748502994012,0.8191489361702128,0.6014805675508945,0.7296525464064731,0.625,0.7352231604342582,0.7932960893854749,0.7919837645865043,0.5275590551181102,0.46664813785436354,0.5953723507680342,0.755331088664422,0.8664189321337766,0.7071823204419889,0.646309479205695
52,0.6581,0.6581,0.7104021906852722,0.21503184735774994,0.5517076253890991,0.731782152902071,0.6383832150570812,0.7006572769953051,0.511326860841424,0.6509433962264151,0.6287425149700598,0.8205673758865248,0.5866748920419494,0.7287006187529748,0.6071428571428571,0.7225572979493365,0.7905027932960894,0.7904616945712836,0.5196850393700787,0.43913285158421345,0.6278436710091386,0.7616161616161616,0.8715040093878349,0.7071823204419889,0.6324466092169352
53,0.6545,0.6545,0.7226430177688599,0.21393083035945892,0.5536782741546631,0.736895934543595,0.6513421783400185,0.6976525821596244,0.5080906148867314,0.6352201257861635,0.6287425149700598,0.8191489361702128,0.580505860579889,0.7310804378867206,0.5848214285714286,0.7107961399276237,0.7905027932960894,0.7879249112125825,0.5590551181102362,0.4271817676486937,0.6443709896947307,0.7636363636363637,0.8716995892822218,0.6961325966850829,0.6198950917946796
54,0.6568,0.6568,0.7259649634361267,0.21255244314670563,0.5556656718254089,0.7496803886474047,0.6609071274298056,0.6929577464788732,0.5145631067961165,0.6352201257861635,0.6526946107784432,0.8219858156028369,0.5860579888957433,0.7315564017134698,0.5892857142857143,0.7086851628468034,0.7932960893854749,0.786910197869102,0.5826771653543307,0.43468593663146193,0.6455376239548901,0.7674523007856341,0.8722863289653824,0.7182320441988951,0.6148370176095916
55,0.6576,0.6576,0.7327293753623962,0.21183675527572632,0.557714581489563,0.7532600357964715,0.6726319037334156,0.6867605633802817,0.517799352750809,0.6427672955974842,0.6676646706586826,0.8205673758865248,0.6008636644046884,0.7296525464064731,0.6071428571428571,0.715319662243667,0.7905027932960894,0.791476407914764,0.5984251968503937,0.45608671484157864,0.6346490375267354,0.7694725028058361,0.8720907490709955,0.7182320441988951,0.6174597227426002
56,0.6589,0.6589,0.7204880118370056,0.21084003150463104,0.5595768094062805,0.7586295065200716,0.6788028386300524,0.6809389671361502,0.5436893203883495,0.6547169811320754,0.6706586826347305,0.8170212765957446,0.6156693399136336,0.7258448357924798,0.6205357142857143,0.7234620024125452,0.7821229050279329,0.7904616945712836,0.6141732283464567,0.4805447470817121,0.6115107913669064,0.7665544332210998,0.8726774887541561,0.7237569060773481,0.6208317721993256
57,0.659,0.659,0.7229662537574768,0.20969727635383606,0.5614461302757263,0.7596522628483764,0.6840481332921937,0.684319248826291,0.540453074433657,0.670440251572327,0.6856287425149701,0.8141843971631205,0.6286243059839605,0.7225130890052356,0.6205357142857143,0.7349215922798552,0.770949720670391,0.7843734145104008,0.6141732283464567,0.49777654252362424,0.5899280575539568,0.7663299663299663,0.8679835712888715,0.7292817679558011,0.635256650430873
58,0.6622,0.6622,0.7367967963218689,0.20886649191379547,0.5634697675704956,0.7614420864229098,0.6899105214439988,0.6901408450704225,0.5728155339805825,0.6823899371069182,0.6811377245508982,0.8134751773049645,0.636027143738433,0.7263207996192289,0.6383928571428571,0.7424607961399277,0.7681564245810056,0.7798072044647387,0.5826771653543307,0.5150083379655364,0.5743729340851643,0.7524130190796857,0.868765890866419,0.7458563535911602,0.6464968152866242
